id,carat,cut,color,clarity,price
0,-1.1280262144813817,1,0,6,6.353
1,0.6694886295558812,0,1,2,9.183
2,-0.06470757434666288,0,2,4,7.983
3,0.8467084029116678,2,3,6,8.371
4,-0.9761235516049933,1,3,3,6.588
5,-0.545732673455226,0,2,3,7.496
6,2.51763769455194,1,4,5,8.979
7,-1.0520748830431874,0,1,2,6.877
8,-1.0773919935225855,2,1,4,6.554
9,-1.2039775459195758,0,1,2,6.683
10,-0.29256156866124544,0,0,5,7.484
11,-1.1027091040019836,0,3,4,6.353
12,-0.545732673455226,0,2,3,7.554
13,-0.11534179530545906,2,4,3,7.671
14,-0.014073353387866696,2,4,5,7.794
15,1.3783677229790272,2,5,4,8.727
16,-0.09002468482606096,0,0,5,8.087
17,-1.0773919935225855,0,3,5,6.23
18,-0.5710497839346241,0,3,3,7.451
19,-0.8242208887286049,1,3,1,7.072
20,0.7960741819528716,1,1,6,8.445
21,-0.41914712105823587,0,5,1,7.365
22,1.9100270430463866,4,5,5,8.976
23,-1.1280262144813817,0,3,0,6.76
24,0.6441715190764831,4,2,3,8.671
25,-0.5963668944140222,0,2,1,7.911
26,1.1505137286644445,1,3,4,8.961
27,-0.849537999208003,0,3,0,7.266
28,-0.8242208887286049,0,1,3,7.074
29,0.9479768448292601,1,4,6,8.456
30,1.2011479496232405,1,5,5,8.606
31,-0.6216840048934203,2,4,5,7.033
32,-1.1027091040019836,1,3,5,6.385
33,-0.46978134201703176,0,0,4,7.633
34,-1.0773919935225855,0,4,6,6.04
35,-0.06470757434666288,0,6,5,7.525
36,0.8467084029116678,2,4,5,8.573
37,-1.1027091040019836,3,0,5,6.347
38,-1.0520748830431874,0,3,0,6.852
39,-0.11534179530545906,0,1,6,7.631
40,-0.11534179530545906,1,4,6,9.626
41,0.6441715190764831,3,4,5,8.361
42,-0.9508064411255952,0,0,4,7.025
43,-1.1280262144813817,0,1,1,6.797
44,2.4163692526343477,2,6,5,9.09
45,-1.0773919935225855,0,5,4,6.356
46,-0.5204155629758279,1,1,3,7.866
47,-1.0267577725637893,0,3,3,6.579
48,1.2011479496232405,0,4,5,8.971
49,-0.11534179530545906,2,0,3,8.179
50,1.2011479496232405,1,2,5,8.837
51,2.1885152583197653,1,0,5,9.412
52,-0.09002468482606096,2,1,4,8.115
53,-1.0773919935225855,2,5,5,5.961
54,-0.5204155629758279,0,1,5,7.483
55,0.6441715190764831,0,5,6,8.094
56,-1.1280262144813817,1,3,3,6.654
57,0.6441715190764831,2,2,6,8.302
58,-0.9254893306461971,0,1,0,7.268
59,-0.8242208887286049,0,1,4,6.931
60,-0.014073353387866696,0,1,5,7.93
61,-0.11534179530545906,0,2,5,7.71
62,-0.3431957896200416,3,0,6,7.261
63,1.1758308391438423,0,2,7,8.384
64,1.353050612499629,0,3,5,8.936
65,1.3024163915408329,2,3,5,8.976
66,-0.874855109687401,1,0,3,7.09
67,-1.1280262144813817,1,4,1,6.528
68,-1.1280262144813817,0,5,1,6.564
69,0.16314641996791995,0,1,6,8.039
70,-1.0773919935225855,0,1,4,6.554
71,-0.5963668944140222,0,3,3,7.432
72,0.03656086757092949,0,0,3,8.384
73,-0.7735866677698087,1,3,5,6.898
74,-0.06470757434666288,0,0,3,8.195
75,0.7201228505146774,0,0,6,8.469
76,-0.3685129000994397,1,3,5,7.406
77,-0.11534179530545906,2,3,5,7.73
78,0.897342623870464,2,3,1,9.133
79,-1.1280262144813817,0,2,3,6.594
80,0.08719508852972567,3,3,5,7.777
81,0.9732939553086577,1,3,1,9.09
82,-0.46978134201703176,0,0,5,7.364
83,0.061877978050327576,1,5,3,7.834
84,-0.5963668944140222,1,5,4,7.072
85,-0.11534179530545906,3,6,4,9.357
86,-0.9761235516049933,0,3,1,6.959
87,1.3024163915408329,0,1,2,9.568
88,-1.0520748830431874,1,4,0,6.918
89,-0.5963668944140222,2,5,5,6.974
90,-1.1027091040019836,1,2,4,6.687
91,-0.09002468482606096,2,4,5,7.726
92,-1.0014406620843914,1,1,5,6.669
93,-1.1027091040019836,0,3,1,6.649
94,-1.1280262144813817,1,5,3,6.41
95,-0.5204155629758279,0,0,4,7.621
96,-0.9254893306461971,0,5,4,6.515
97,0.8467084029116678,2,2,1,9.231
98,1.353050612499629,0,4,1,9.078
99,0.8467084029116678,0,3,5,8.585
100,1.9100270430463866,1,6,3,9.131
101,-0.900172220166799,2,0,2,6.962
102,0.6694886295558812,2,4,5,8.382
103,0.3910004142825025,1,0,5,8.436
104,2.770808799345921,1,4,5,9.54
105,0.11251219900912376,1,6,5,7.696
106,2.1885152583197653,3,1,6,9.287
107,0.9479768448292601,1,3,0,9.119
108,-1.1027091040019836,0,2,2,6.574
109,-1.1027091040019836,0,3,3,6.465
110,1.2011479496232405,1,5,4,8.639
111,-0.11534179530545906,3,2,4,7.86
112,0.8213912924322697,1,2,6,8.443
113,-1.0520748830431874,0,3,3,6.55
114,-0.874855109687401,1,0,2,7.188
115,-0.6216840048934203,3,2,4,7.27
116,-0.6216840048934203,3,0,6,6.865
117,-0.46978134201703176,0,2,6,7.154
118,-0.849537999208003,0,0,4,7.071
119,0.7201228505146774,1,5,5,8.098
120,-0.5204155629758279,0,1,3,7.508
121,-1.1280262144813817,0,2,4,6.654
122,0.3910004142825025,1,3,5,8.236
123,-0.3431957896200416,0,5,6,7.245
124,1.3024163915408329,2,4,6,8.655
125,1.2011479496232405,1,4,3,8.893
126,-0.874855109687401,1,1,4,6.816
127,-1.0267577725637893,0,1,6,6.118
128,0.6441715190764831,1,4,4,8.514
129,2.1125639268815712,0,1,5,9.515
130,-0.11534179530545906,0,5,5,9.748
131,-1.0773919935225855,0,0,4,6.631
132,3.17588256701629,2,6,4,9.476
133,1.327733502020231,0,1,3,9.379
134,1.9100270430463866,2,2,5,9.302
135,-0.6216840048934203,0,2,6,7.093
136,1.9353441535257847,0,5,5,9.029
137,-0.3178786791406435,1,3,4,7.508
138,2.3657350316755514,1,6,6,8.943
139,-0.5710497839346241,0,3,3,7.451
140,0.6694886295558812,2,1,5,8.518
141,1.353050612499629,0,3,6,8.681
142,-0.6216840048934203,0,4,4,7.394
143,-0.21661023722305114,2,3,2,7.701
144,0.6694886295558812,2,2,4,8.726
145,-1.1027091040019836,0,3,4,6.299
146,-1.1027091040019836,0,2,0,7.052
147,-0.41914712105823587,0,2,1,7.911
148,-0.874855109687401,2,2,5,6.782
149,0.3910004142825025,0,3,3,8.62
150,1.9100270430463866,1,2,5,9.079
151,1.0745623972262501,1,0,3,9.204
152,1.9100270430463866,2,0,3,9.705
153,0.3910004142825025,2,1,5,8.307
154,-0.06470757434666288,3,2,2,8.054
155,-0.09002468482606096,0,0,4,8.05
156,2.061929705922775,0,6,4,8.963
157,-0.09002468482606096,2,3,4,7.853
158,-0.5710497839346241,2,3,1,7.656
159,-0.09002468482606096,2,6,3,7.597
160,0.9226597343498621,0,5,5,8.457
161,1.327733502020231,1,5,5,8.646
162,-1.2799288773577702,2,0,5,6.163
163,0.7707570714734736,2,4,6,8.333
164,0.6694886295558812,1,3,6,8.354
165,-0.11534179530545906,1,0,6,7.706
166,-0.8242208887286049,1,1,4,6.865
167,-1.0267577725637893,0,4,1,6.621
168,0.9226597343498621,0,1,6,8.586
169,2.2897837002373573,2,6,5,8.98
170,0.16314641996791995,2,4,3,8.04
171,0.16314641996791995,0,3,2,8.325
172,1.8340757116081923,4,4,7,8.497
173,-0.11534179530545906,1,5,6,9.637
174,2.036612595443377,0,5,4,9.131
175,-1.0773919935225855,0,1,2,6.658
176,-0.49509845249642986,0,1,4,7.447
177,-1.1280262144813817,1,5,5,6.227
178,2.061929705922775,2,6,5,8.912
179,-0.11534179530545906,3,1,3,7.99
180,-1.1280262144813817,2,1,4,6.461
181,-1.0520748830431874,1,3,4,6.611
182,-0.06470757434666288,1,1,6,7.662
183,-0.11534179530545906,1,3,3,7.822
184,0.7454399609940755,2,0,3,9.011
185,-1.0267577725637893,3,4,4,6.286
186,0.6948057400352793,1,4,5,8.476
187,-1.1027091040019836,3,1,5,6.299
188,0.9479768448292601,0,1,5,8.773
189,0.6441715190764831,2,4,5,8.508
190,-1.0520748830431874,0,3,3,6.501
191,-0.49509845249642986,1,3,5,7.186
192,1.1505137286644445,1,4,3,8.799
193,1.9353441535257847,1,3,5,9.282
194,-0.5204155629758279,2,1,4,7.442
195,-1.0773919935225855,1,5,3,6.474
196,-1.0520748830431874,1,3,3,6.75
197,-0.5204155629758279,0,3,2,7.593
198,-1.1280262144813817,0,1,0,6.849
199,-1.1027091040019836,1,6,5,6.142
200,-0.849537999208003,3,2,3,6.792
201,-0.06470757434666288,0,4,5,7.807
202,-0.7989037782492068,0,4,1,7.169
203,0.3910004142825025,2,2,5,8.267
204,-1.1280262144813817,4,1,2,6.373
205,0.6694886295558812,1,3,4,8.717
206,1.9100270430463866,1,3,6,8.868
207,-0.46978134201703176,1,1,4,7.53
208,-1.0520748830431874,0,0,5,6.41
209,-0.6216840048934203,2,0,3,7.447
210,1.1505137286644445,1,3,3,8.695
211,-0.11534179530545906,2,5,5,7.672
212,-0.9254893306461971,0,2,3,6.906
213,-0.7989037782492068,0,0,5,6.97
214,-0.8242208887286049,0,0,2,7.19
215,-1.1027091040019836,0,1,4,6.771
216,0.7454399609940755,2,2,6,8.338
217,1.3024163915408329,0,1,5,9.056
218,-1.1280262144813817,0,0,5,6.314
219,2.061929705922775,1,1,4,9.406
220,-0.7989037782492068,1,2,4,6.875
221,-0.6216840048934203,3,2,5,7.102
222,-1.2039775459195758,2,3,1,6.339
223,0.08719508852972567,2,0,4,8.207
224,-0.545732673455226,3,1,3,7.482
225,0.7960741819528716,0,3,6,8.515
226,-0.874855109687401,2,2,3,6.844
227,-0.39383001057883776,0,3,5,7.227
228,0.8467084029116678,2,1,6,8.223
229,1.1758308391438423,0,4,4,8.68
230,-0.874855109687401,1,0,5,6.898
231,-0.849537999208003,0,0,6,6.735
232,-1.0773919935225855,0,0,5,6.628
233,-0.41914712105823587,1,1,5,7.249
234,0.897342623870464,2,6,6,8.362
235,-0.09002468482606096,3,2,3,7.847
236,-1.0520748830431874,2,2,3,6.649
237,-1.254611766878372,1,1,3,6.075
238,-1.254611766878372,0,1,4,6.282
239,0.6441715190764831,1,0,5,8.679
240,-0.11534179530545906,2,2,3,8.024
241,-1.0773919935225855,0,3,4,6.579
242,-0.5963668944140222,0,1,3,7.472
243,1.9353441535257847,0,4,4,9.354
244,-0.11534179530545906,2,3,5,9.812
245,0.6948057400352793,0,5,5,8.463
246,0.7454399609940755,2,3,5,8.531
247,-0.9508064411255952,0,2,1,6.836
248,-0.7989037782492068,0,3,3,6.849
249,-1.1280262144813817,0,3,2,6.745
250,-0.6216840048934203,3,6,5,6.866
251,2.061929705922775,1,3,6,9.089
252,-0.09002468482606096,2,1,3,8.009
253,1.2770992810614348,0,4,6,8.497
254,-0.9254893306461971,0,4,6,6.234
255,0.4922688562000946,1,2,6,8.35
256,-1.0014406620843914,0,2,4,6.56
257,-1.1280262144813817,2,4,5,6.223
258,-0.849537999208003,0,2,4,6.76
259,-1.1027091040019836,0,3,1,6.671
260,-1.0773919935225855,1,2,0,6.985
261,-0.9761235516049933,1,4,4,6.592
262,2.011295484963979,3,4,3,9.284
263,-0.849537999208003,1,1,6,6.526
264,-0.11534179530545906,0,3,6,9.776
265,-0.21661023722305114,2,4,3,7.59
266,0.6948057400352793,4,5,6,8.243
267,-0.5710497839346241,0,4,1,7.501
268,0.6694886295558812,3,3,2,8.9
269,2.137881037360969,1,4,5,9.086
